                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4963,                 2.5295,                 1.1989,                0.07489,                0.88608,                0.43264,                0.21194,                 1.5423,                 2.4773,                 1.1569,                0.07426,                0.00026,                0.00026
                      2,                 1.3346,                 1.5156,                 1.1025,                0.77507,                0.45801,                0.73573,                0.51444,                  1.013,                 1.9005,                0.93496,               0.047504,             0.00050377,             0.00050377
                      3,                 1.3187,                 1.3506,                 1.1184,                0.60911,                0.72983,                0.71767,                0.50066,                 1.0137,                 1.3499,                0.93676,               0.020721,              0.0007208,              0.0007208
                      4,                 1.2683,                 1.2376,                 1.0939,                0.71281,                0.83544,                0.79716,                0.53871,                 1.0548,                 1.0606,                0.96116,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.2036,                 1.1925,                  1.083,                0.75233,                 0.8481,                0.80702,                0.58152,                0.99392,                0.93538,                0.93723,               0.000802,               0.000802,               0.000802
                      6,                 1.2185,                 1.1376,                 1.0681,                0.71532,                0.86709,                0.82897,                0.62372,                0.89796,                0.93201,                0.90855,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.1951,                 1.2141,                 1.0695,                 0.7528,                0.81646,                0.79233,                0.60195,                0.85247,                0.94308,                 0.9038,               0.000703,               0.000703,               0.000703
                      8,                 1.1544,                 1.1279,                 1.0525,                0.78032,                0.74051,                0.79537,                0.61316,                0.82494,                0.96946,                0.91061,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.1286,                 1.1154,                 1.0424,                0.79881,                0.79114,                0.84237,                0.64796,                0.81796,                0.88027,                0.90282,               0.000604,               0.000604,               0.000604
                     10,                  1.146,                  1.145,                  1.041,                0.83505,                0.72785,                0.82099,                0.62345,                 0.8102,                0.92613,                0.89176,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.0357,                 1.1604,                0.98108,                 0.7417,                0.83599,                0.82675,                0.60972,                0.87962,                0.94786,                0.89861,               0.000505,               0.000505,               0.000505
                     12,                0.96323,                 1.0841,                0.96943,                0.80566,                0.79114,                0.85423,                0.63055,                0.92031,                0.91039,                0.91752,              0.0004555,              0.0004555,              0.0004555
                     13,                0.99849,                 1.0286,                0.97197,                0.80487,                0.78319,                0.83317,                0.64841,                0.81442,                0.90309,                0.89577,               0.000406,               0.000406,               0.000406
                     14,                0.95313,                0.97123,                0.96488,                0.81635,                 0.7596,                0.84701,                0.61326,                0.94456,                0.93834,                0.93368,              0.0003565,              0.0003565,              0.0003565
                      1,                 1.4963,                 2.5295,                 1.1989,                0.07489,                0.88608,                0.43264,                0.21194,                 1.5423,                 2.4773,                 1.1569,                0.07426,                0.00026,                0.00026
                     15,                0.90555,                0.95135,                0.94526,                0.85627,                0.77848,                0.86546,                0.68037,                0.78539,                0.79507,                0.89538,               0.000307,               0.000307,               0.000307
                      2,                 1.3346,                 1.5156,                 1.1025,                0.77507,                0.45801,                0.73573,                0.51444,                  1.013,                 1.9005,                0.93496,               0.047504,             0.00050377,             0.00050377
                     16,                0.94891,                 1.0089,                0.96293,                0.86807,                 0.8038,                0.88117,                0.66983,                0.86624,                0.76929,                0.90196,              0.0002575,              0.0002575,              0.0002575
                      3,                 1.3187,                 1.3506,                 1.1184,                0.60911,                0.72983,                0.71767,                0.50066,                 1.0137,                 1.3499,                0.93676,               0.020721,              0.0007208,              0.0007208
                     17,                0.93932,                0.92937,                0.93976,                 0.8135,                0.85585,                0.87358,                0.70109,                0.75595,                0.77023,                0.87918,               0.000208,               0.000208,               0.000208
                      4,                 1.2683,                 1.2376,                 1.0939,                0.71281,                0.83544,                0.79716,                0.53871,                 1.0548,                 1.0606,                0.96116,              0.0008515,              0.0008515,              0.0008515
                     18,                0.85661,                0.95137,                0.93716,                0.80834,                0.86076,                0.87064,                0.70078,                0.76239,                0.75676,                0.88094,              0.0001585,              0.0001585,              0.0001585
                      5,                 1.2036,                 1.1925,                  1.083,                0.75233,                 0.8481,                0.80702,                0.58152,                0.99392,                0.93538,                0.93723,               0.000802,               0.000802,               0.000802
                     19,                0.85906,                0.90126,                0.92636,                0.79435,                0.85567,                0.87149,                0.69883,                0.73755,                0.73929,                0.87674,               0.000109,               0.000109,               0.000109
                      6,                 1.2185,                 1.1376,                 1.0681,                0.71532,                0.86709,                0.82897,                0.62372,                0.89796,                0.93201,                0.90855,              0.0007525,              0.0007525,              0.0007525
                     20,                 0.8415,                0.89514,                 0.9223,                0.78938,                0.86709,                0.86596,                0.70018,                0.71385,                0.74082,                0.87576,               5.95e-05,               5.95e-05,               5.95e-05
                      7,                 1.1951,                 1.2141,                 1.0695,                 0.7528,                0.81646,                0.79233,                0.60195,                0.85247,                0.94308,                 0.9038,               0.000703,               0.000703,               0.000703
                      8,                 1.1544,                 1.1279,                 1.0525,                0.78032,                0.74051,                0.79537,                0.61316,                0.82494,                0.96946,                0.91061,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.1286,                 1.1154,                 1.0424,                0.79881,                0.79114,                0.84237,                0.64796,                0.81796,                0.88027,                0.90282,               0.000604,               0.000604,               0.000604
                     10,                  1.146,                  1.145,                  1.041,                0.83505,                0.72785,                0.82099,                0.62345,                 0.8102,                0.92613,                0.89176,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.0357,                 1.1604,                0.98108,                 0.7417,                0.83599,                0.82675,                0.60972,                0.87962,                0.94786,                0.89861,               0.000505,               0.000505,               0.000505
                     12,                0.96323,                 1.0841,                0.96943,                0.80566,                0.79114,                0.85423,                0.63055,                0.92031,                0.91039,                0.91752,              0.0004555,              0.0004555,              0.0004555
                     13,                0.99849,                 1.0286,                0.97197,                0.80487,                0.78319,                0.83317,                0.64841,                0.81442,                0.90309,                0.89577,               0.000406,               0.000406,               0.000406
                     14,                0.95313,                0.97123,                0.96488,                0.81635,                 0.7596,                0.84701,                0.61326,                0.94456,                0.93834,                0.93368,              0.0003565,              0.0003565,              0.0003565
                     15,                0.90555,                0.95135,                0.94526,                0.85627,                0.77848,                0.86546,                0.68037,                0.78539,                0.79507,                0.89538,               0.000307,               0.000307,               0.000307
                     16,                0.94891,                 1.0089,                0.96293,                0.86807,                 0.8038,                0.88117,                0.66983,                0.86624,                0.76929,                0.90196,              0.0002575,              0.0002575,              0.0002575
                     17,                0.93932,                0.92937,                0.93976,                 0.8135,                0.85585,                0.87358,                0.70109,                0.75595,                0.77023,                0.87918,               0.000208,               0.000208,               0.000208
                     18,                0.85661,                0.95137,                0.93716,                0.80834,                0.86076,                0.87064,                0.70078,                0.76239,                0.75676,                0.88094,              0.0001585,              0.0001585,              0.0001585
                     19,                0.85906,                0.90126,                0.92636,                0.79435,                0.85567,                0.87149,                0.69883,                0.73755,                0.73929,                0.87674,               0.000109,               0.000109,               0.000109
                     20,                 0.8415,                0.89514,                 0.9223,                0.78938,                0.86709,                0.86596,                0.70018,                0.71385,                0.74082,                0.87576,               5.95e-05,               5.95e-05,               5.95e-05
