                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.482,                 1.3387,                 1.1813,                0.29789,                0.51827,                 0.2753,                0.12385,                 1.4156,                 3.4567,                 1.1661,                0.07413,                0.00013,                0.00013
                      2,                 1.3622,                 1.2024,                 1.1432,                0.58967,                0.60127,                0.59222,                0.37137,                 1.0719,                  1.339,                0.99612,               0.047265,              0.0002649,              0.0002649
                      3,                 1.3227,                 1.1592,                 1.0972,                0.81028,                0.75949,                0.84096,                0.63615,                 0.9112,                0.86907,                0.91299,               0.020399,             0.00039939,             0.00039939
                      4,                 1.3283,                 1.1334,                 1.1158,                0.81517,                0.82911,                0.85704,                0.55548,                 1.2636,                0.88913,                 1.0031,             0.00049828,             0.00049828,             0.00049828
                      5,                 1.2508,                 1.0966,                 1.0714,                0.79559,                0.81294,                0.84554,                0.61354,                0.93423,                 0.9197,                   0.93,             0.00049695,             0.00049695,             0.00049695
                      6,                 1.2538,                 1.0731,                 1.0889,                0.75694,                0.84755,                0.82678,                0.63585,                0.82475,                0.86022,                0.91747,             0.00049524,             0.00049524,             0.00049524
                      7,                 1.2445,                 1.0572,                 1.0834,                0.78833,                0.82278,                0.84863,                0.64342,                0.94698,                0.87685,                0.92946,             0.00049316,             0.00049316,             0.00049316
                      8,                 1.2893,                 1.0904,                 1.0868,                 0.7928,                0.84757,                0.84297,                 0.6484,                0.89674,                0.81668,                 0.9196,             0.00049071,             0.00049071,             0.00049071
                      9,                 1.2394,                0.99446,                 1.0812,                0.82279,                0.82278,                0.84569,                0.66316,                 0.8042,                0.79527,                0.90701,             0.00048789,             0.00048789,             0.00048789
                     10,                 1.2417,                 1.0117,                 1.0881,                0.76177,                0.87027,                0.80891,                0.67117,                0.71396,                0.81672,                 0.8877,              0.0004847,              0.0004847,              0.0004847
                      1,                 1.4253,                 1.2954,                 1.1435,                0.63774,                0.62658,                0.66254,                 0.4231,                0.99288,                 1.1652,                 0.9877,                0.07413,                0.00013,                0.00013
                     11,                  1.224,                 1.0823,                 1.0767,                0.71975,                0.77215,                0.73972,                0.59064,                 0.7768,                0.92029,                0.90359,             0.00048116,             0.00048116,             0.00048116
                      2,                    1.3,                 1.1066,                  1.108,                0.50856,                0.68116,                0.54029,                0.33702,                0.91848,                 1.3756,                0.93203,               0.047265,              0.0002649,              0.0002649
                     12,                  1.193,                0.99211,                  1.065,                0.77017,                0.84837,                0.84038,                0.63923,                0.85165,                0.82097,                0.91408,             0.00047727,             0.00047727,             0.00047727
                      3,                 1.2856,                 1.0871,                 1.0776,                0.75838,                0.78481,                0.78533,                0.60852,                0.77369,                  0.984,                 0.8921,               0.020399,             0.00039939,             0.00039939
                     13,                 1.2274,                 1.0722,                 1.0956,                0.79683,                0.84177,                0.81859,                0.65772,                0.75445,                0.77551,                0.88639,             0.00047302,             0.00047302,             0.00047302
                      4,                 1.2759,                  1.069,                 1.0854,                0.75949,                0.85941,                0.87234,                0.65331,                0.94514,                0.79998,                0.91616,             0.00049828,             0.00049828,             0.00049828
                     14,                 1.2364,                 1.0159,                 1.0741,                 0.8193,                0.80352,                0.81449,                0.62371,                0.86629,                0.82202,                0.91885,             0.00046844,             0.00046844,             0.00046844
                      5,                  1.232,                 1.0628,                 1.0587,                0.76475,                0.86412,                0.84952,                0.65944,                0.81441,                0.80832,                0.90046,             0.00049695,             0.00049695,             0.00049695
                     15,                 1.2065,                 1.0125,                   1.06,                0.81493,                0.84177,                0.84131,                0.67594,                0.73661,                0.82128,                0.89279,             0.00046353,             0.00046353,             0.00046353
                      6,                 1.2218,                 1.0262,                 1.0778,                0.76339,                0.85765,                0.82598,                0.66573,                0.71334,                0.85366,                0.88976,             0.00049524,             0.00049524,             0.00049524
                     16,                   1.19,                0.98069,                 1.0591,                0.80192,                 0.8456,                0.82608,                0.65365,                0.81368,                0.77487,                0.90244,             0.00045829,             0.00045829,             0.00045829
                      7,                 1.2254,                 1.0133,                 1.0704,                0.83876,                0.79747,                0.86767,                0.63223,                0.99578,                0.79881,                0.93902,             0.00049316,             0.00049316,             0.00049316
